"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
18003353;"FRANS KRAJCBERG: MANIFESTO";"FRANS KRAJCBERG: MANIFESTO";2018;"REGINA SUELI BOUHID JEHA";"2019-03-27"
19000900;"DISFORIA";"DISFORIA";2019;"LUCAS PEREIRA CASSALES";"2019-03-27"
19001229;"RED JOAN";"A ESPIÃ VERMELHA";2018;"TREVOR NUNN";"2019-03-27"
19001295;"THE MAN WHO KILLED DON QUIXOTE";"O HOMEM QUE MATOU DON QUIXOTE";2018;"TERRY GILLIAM";"2019-03-27"
19001330;"DILILI À PARIS";"DILILI EM PARIS";2018;"MICHEL OCELOT";"2019-03-27"
18004946;"LE LIVRE D'IMAGE";"IMAGEM E PALAVRA";2018;"JEAN-LUC GODARD";"2019-03-26"
18004185;"PARA'Í";"PARA'Í";2017;"VINICIUS MANTOVANI CONTRERA TORO";"2019-03-25"
18005981;"AMAZÔNIA, O DESPERTAR DA FLORESTANIA";"AMAZÔNIA, O DESPERTAR DA FLORESTANIA";2018;"CHRISTIANE MARIA DOS SANTOS TORLONI";"2019-03-25"
19001125;"AYKA";"AYKA";2018;"SERGEY DVORTSEVOY";"2019-03-25"
19001191;"OS ÚLTIMOS DIAS DE COPACABANA JACK";"OS ÚLTIMOS DIAS DE COPACABANA JACK";2019;"ROBSON FONSECA CURVELLO";"2019-03-25"
19001271;"MEN IN BLACK INTERNATIONAL";"MIB: HOMENS DE PRETO - INTERNACIONAL";2019;"F. GARY GRAY";"2019-03-25"
19001273;"ONCE UPON A TIME IN HOLLYWOOD";"ERA UMA VEZ EM HOLLYWOOD";2019;"QUENTIN TARANTINO";"2019-03-25"
19001277;"SPIDER-MAN: FAR FROM HOME";"HOMEM-ARANHA LONGE DE CASA";2019;"JON WATTS";"2019-03-25"
18005693;"TERREIROS DE CANDOMBLÉ DE CACHOEIRA E SÃO FÉLIX";"TERREIROS DE CANDOMBLÉ DE CACHOEIRA E SÃO FÉLIX";2016;"ANDERSON SOARES CALDAS";"2019-03-22"
19001188;"NON FICTION";"VIDAS DUPLAS";2018;"OLIVIER ASSAYAS";"2019-03-22"
18000601;"JACQUIN COMO VOCÊ NUNCA VIU";"JACQUIN COMO VOCÊ NUNCA VIU";2017;"ERIC MARDOCHE BELHASSEN";"2019-03-21"
18005020;"DOMINGO";"DOMINGO";2018;"CLARA ISABELLE LINHART";"2019-03-21"
19001078;"AVENGERS: ENDGAME";"VINGADORES: ULTIMATO";2019;"ANTHONY RUSSO, JOE RUSSO";"2019-03-21"
19001190;"BRIGHTBURN";"BRIGHTBURN - FILHO DAS TREVAS";2019;"DAVID YAROVESKY";"2019-03-21"
15008136;"FANTASIAS SEXUAIS 3";"FANTASIAS SEXUAIS 3";2015;"JULIANO COSTA BENDAZOLI";"2019-03-20"
18001410;"AZOUGUE NAZARÉ";"AZOUGUE NAZARÉ";2018;"TIAGO MELO DE MACEDO";"2019-03-20"
19001210;"O RIO DE JANEIRO DE HO CHI MINH";"O RIO DE JANEIRO DE HO CHI MINH";2019;"CLÁUDIA DE FREITAS MATTOS";"2019-03-20"
15007114;"BEATRIZ";"BEATRIZ";2015;"ALBERTO AUGUSTO DOS REIS GRACA";"2019-03-19"
18005059;"MARCIA HAYDÉE";"MARCIA HAYDÉE";2018;"DANIELA KALLMANN";"2019-03-19"
18003468;"LA VITTA IN COMUNE";"A VIDA EM FAMÍLIA";2017;"EDOARDO WINSPEARE";"2019-03-15"
18003631;"THE EQUALIZER 2";"O PROTETOR 2";2018;"ANTOINE FUQUA";"2019-03-15"
18005170;"ROGÉRIA - SENHOR ASTOLFO BARROZO PINTO";"ROGÉRIA - SENHOR ASTOLFO BARROZO PINTO";2018;"PEDRO GUILHERME FONSECA MOREIRA DA SILVA";"2019-03-15"
19000372;"RAFIKI";"RAFIKI";2018;"WANURI KAHIU";"2019-03-15"
17001101;"A DESCOBERTA DO MUNDO";"A DESCOBERTA DO MUNDO";2015;"TACIANA MARIA DE FATIMA OLIVEIRA";"2019-03-14"
